authors,comments,cover,isbn,pubdate,publisher,rating,series,series_index,tags,title,id
John Schember,"Size ne resim, video, dahil - - ​​Bir EPUB için tüm içeriği içeren tek bir HTML dosyası üretmek birlikte Readk.it okuma sistemi ile. Bu dosya e-posta yoluyla kullanıcılara dağıtılan, ve sonra varsayılan tarayıcı açmak için çift tıklayarak çevrimdışı okunabilir. Readk.it Solo örnekleri olabilir buradan indirebilirsiniz",C:\Users\Joao\Calibre Library\John Schember\Calibre Quick Start Guide (1)\cover.jpg,,0101-01-01T00:00:00+00:00,,,,1.0,,Calibre Quick Start Guide,1
Desconhecido,,,,0101-01-01T00:00:00+00:00,,,,1.0,,volumio-2.587-2019-06-11-pi.img,2
Zygmunt Bauman,"O medo é uma das marcas do nosso tempo. Em Medo líquido, Bauman faz mais um estudo singular sobre a vida contemporânea e revela um inventário dos medos atuais. O ser humano vive hoje em meio a uma ansiedade constante. Temos medo de perder o emprego, medo da violência urbana, do terrorismo, medo de ficar sem o amor do parceiro, da exclusão. O resultado? Temos que nos atualizar sempre e acumular conhecimentos, circulamos dentro de shopping centers, dirigimos carros blindados, vivemos em condomínios fechados. O medo é uma das marcas do nosso tempo. Em Medo líquido, Bauman faz mais um estudo singular sobre a vida contemporânea e revela um inventário dos medos atuais. O sociólogo mapeia as origens comuns das ansiedades na modernidade líquida e examina mecanismos que possam deter a influência do medo sobre as nossas vidas. Segundo o autor, as certezas da modernidade sólida se foram, e, com isso, a utopia do controle sobre os mundos social, econômico e natural desmoronou.",C:\Users\Joao\Calibre Library\Zygmunt Bauman\Medo liquido (3)\cover.jpg,9788537808542,2008-01-08T13:08:18+00:00,Editora Schwarcz - Companhia das Letras,,,1.0,"Social Science, Sociology, General, Anthropology, Cultural & Social",Medo líquido,3
Simon Conway Morris,"How did human beings acquire imaginations that can conjure up untrue possibilities? How did the Universe become self-aware? In The Runes of Evolution, Simon Conway Morris revitalizes the study of evolution from the perspective of convergence, providing us with compelling new evidence to support the mounting scientific view that the history of life is far more predictable than once thought.  A leading evolutionary biologist at the University of Cambridge, Conway Morris came into international prominence for his work on the Cambrian explosion (especially fossils of the Burgess Shale) and evolutionary convergence, which is the process whereby organisms not closely related (not monophyletic), independently evolve similar traits as a result of having to adapt to similar environments or ecological niches.  In The Runes of Evolution, he illustrates how the ubiquity of convergence hints at an underlying framework whereby many outcomes, not least brains and intelligence, are virtually guaranteed on any Earth-like planet. Conway Morris also emphasizes how much of the complexity of advanced biological systems is inherent in microbial forms.  By casting a wider net, The Runes of Evolution explores many neglected evolutionary questions. Some are remarkably general. Why, for example, are convergences such as parasitism, carnivory, and nitrogen fixation in plants concentrated in particular taxonomic hot spots? Why do certain groups have a particular propensity to evolve toward particular states?  Some questions lead to unexpected evolutionary insights: If bees sleep (as they do), do they dream? Why is that insect copulating with an orchid? Why have sponges evolved a system of fiber optics? What do mantis shrimps and submarines have in common? If dinosaurs had not gone extinct what would have happened next? Will a saber-toothed cat ever re-evolve?  Cona Morris observes: “Even amongst the mammals, let alone the entire tree of life, humans represent one minute twig of a vast (and largely fossilized) arborescence. Every living species is a linear descendant of an immense string of now-vanished ancestors, but evolution itself is the very reverse of linear. Rather it is endlessly exploratory, probing the vast spaces of biological hyperspace. Indeed this book is a celebration of how our world is (and was) populated by a riot of forms, a coruscating tapestry of life.”  The Runes of Evolution is the most definitive synthesis of evolutionary convergence to be published to date.",C:\Users\Joao\Calibre Library\Simon Conway Morris\The Runes of Evolution_ How the Univ (4)\cover.jpg,9781599474649,2015-06-22T14:28:42+01:00,Templeton Press,,,1.0,"Science, General, Life Sciences, Evolution, Philosophy & Social Aspects, Religion, Religion & Science",The Runes of Evolution: How the Universe Became Self-Aware,4
Zora Neale Hurston,"One of the most important works of twentieth-century American literature, Zora Neale Hurston's beloved 1937 classic, Their Eyes Were Watching God, is an enduring Southern love story sparkling with wit, beauty, and heartfelt wisdom. Told in the captivating voice of a woman who refuses to live in sorrow, bitterness, fear, or foolish romantic dreams, it is the story of fair-skinned, fiercely independent Janie Crawford, and her evolving selfhood through three marriages and a life marked by poverty, trials, and purpose. A true literary wonder, Hurston's masterwork remains as relevant and affecting today as when it was first published -- perhaps the most widely read and highly regarded novel in the entire canon of African American literature.",C:\Users\Joao\Calibre Library\Zora Neale Hurston\Their Eyes Were Watching God (5)\cover.jpg,9780061120060,2006-05-30T14:45:07+01:00,HarperCollins,,,1.0,"African American women, General, African Americans, Literature - Classics, 1901-1960, Psychological fiction, Criticism, Zora Neale, African American Studies, Hurston, Fiction, Self-realization, Psychological, Romance, Classics, Literary, Ethnic Studies, African American, Social Science",Their Eyes Were Watching God,5
Ray Bradbury,"In this exuberant book, the incomparable Ray Bradbury shares the wisdom, experience, and excitement of a lifetime of writing. The first thing a writer should be is – excited Author of the iconic FAHRENHEIT 451, THE ILLUSTRATED MAN and THE MARTIAN CHRONICLES, Ray Bradbury is one of the greatest writers of the twentieth century. Part memoir, part masterclass, ZEN IN THE ART OF WRITING offers a vivid and exuberant insight into the craft of writing. Bradbury reveals how writers can each find their own unique path to developing their voice and style. ZEN IN THE ART OF WRITING offers a celebration of the act of writing that will delight, impassion, and inspire.",C:\Users\Joao\Calibre Library\Ray Bradbury\Zen in the Art of Writing (6)\cover.jpg,9780008120870,2015-05-21T14:54:47+01:00,HarperCollins UK,,,1.0,"Reference, Literary Criticism, Biography & Autobiography, Writing Skills, Science Fiction & Fantasy, Literary Figures, General, Language Arts & Disciplines, Composition & Creative Writing",Zen in the Art of Writing,6
Yuval Noah Harari,"""From a renowned historian comes a groundbreaking narrative of humanity's creation and evolution--a #1 international bestseller--that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be ""human."" One hundred thousand years ago, at least six different species of humans inhabited Earth. Yet today there is only one--homo sapiens. What happened to the others? And what may happen to us? Most books about the history of humanity pursue either a historical or a biological approach, but Dr. Yuval Noah Harari breaks the mold with this highly original book that begins about 70,000 years ago with the appearance of modern cognition. From examining the role evolving humans have played in the global ecosystem to charting the rise of empires, Sapiens integrates history and science to reconsider accepted narratives, connect past developments with contemporary concerns, and examine specific events within the context of larger ideas .Dr. Harari also compels us to look ahead, because over the last few decades humans have begun to bend laws of natural selection that have governed life for the past four billion years. We are acquiring the ability to design not only the world around us, but also ourselves. Where is this leading us, and what do we want to become? Featuring 27 photographs, 6 maps, and 25 illustrations/diagrams, this provocative and insightful work is sure to spark debate and is essential reading for aficionados of Jared Diamond, James Gleick, Matt Ridley, Robert Wright, and Sharon Moalem""--",C:\Users\Joao\Calibre Library\Yuval Noah Harari\Sapiens_ A Brief History of Humankin (7)\cover.jpg,9780099590088,2015-04-15T14:29:13+01:00,Vintage Books,,,1.0,"History, World",Sapiens: A Brief History of Humankind,7
Yann Martel,"SUMMARY: The son of a zookeeper, Pi Patel has an encyclopedic knowledge of animal behavior and a fervent love of stories. When Pi is sixteen, his family emigrates from India to North America aboard a Japanese cargo ship, along with their zoo animals bound for new homes. The ship sinks. Pi finds himself alone in a lifeboat, his only companions a hyena, an orangutan, a wounded zebra, and Richard Parker, a 450-pound Bengal tiger. Soon the tiger has dispatched all but Pi, whose fear, knowledge, and cunning allow him to coexist with Richard Parker for 227 days while lost at sea. When they finally reach the coast of Mexico, Richard Parker flees to the jungle, never to be seen again. The Japanese authorities who interrogate Pi refuse to believe his story and press him to tell them ""the truth."" After hours of coercion, Pi tells a second story, a story much less fantastical, much more conventional--but is it more true?",C:\Users\Joao\Calibre Library\Yann Martel\Book Club_ Life of Pi (7 Copies)_ (8)\cover.jpg,9780156030205,2004-05-03T08:00:00+01:00,"Harcourt, cc2001.",,,1.0,"Zoo animals, shipwrecks, Ocean travel, Storytelling, etc, Teenage boys, General, Human-animal relationships, Psychological fiction, Fiction - General, Juvenile Fiction, Fiction, Survival after airplane accidents, Hinduism, Canadian fiction, Psychological, Romance, Orphans, Christianity, Tigers, Action & Adventure, Literary, Pacific Ocean, Islam",Book Club: Life of Pi (7 Copies).,8
Winterborn,,C:\Users\Joao\Calibre Library\Winterborn\Michelle West - Sun Sword 04 - Sea o (9)\cover.jpg,,0101-01-01T00:00:00+00:00,a,,,1.0,,Michelle West - Sun Sword 04 - Sea of Sorrows,9
David Wingrove,"IMMOVABLE PEACEThe year is 2196. The great Empire of Ice, Chung Kuo, has finally been shaken after more than a century of peace enforced by brutal tyranny. The Minister of the Edict - an official responsible for licensing all technology that could lead to Change - has been assassinated. The seven ruling T&#39;ang struggle to maintain Stasis, even as their mile-high, continent-spanning cities descend into chaos.IRRESISTIBLE CHAOSAmid the chaos, the rebels responsible for the assassination seize the opportunity to effect Change. But the assassination was orchestrated by those far closer to the ruling power and this betrayal, the first of many, will lead them all into the world-shattering War of Two Directions.WAR IS COMING...",C:\Users\Joao\Calibre Library\David Wingrove\The Middle Kingdom (10)\cover.jpg,9780857897084,2012-10-01T14:09:56+01:00,Atlantic Books,,,1.0,"Fiction, Science fiction, General",The Middle Kingdom,10
William Styron,"This award-winning novel of love, survival, and agonizing regret in post–WWII Brooklyn “belongs on that small shelf reserved for American masterpieces” (The Washington Post Book World).  Winner of the National Book Award and a modern classic, Sophie’s Choice centers on three characters: Stingo, a sexually frustrated aspiring novelist; Nathan, his charismatic but violent Jewish neighbor; and Sophie, an Auschwitz survivor who is Nathan’s lover. Their entanglement in one another’s lives will build to a stirring revelation of agonizing secrets that will change them forever.   Poetic in its execution, and epic in its emotional sweep, Sophie’s Choice explores the good and evil of humanity through Stingo’s burgeoning worldliness, Nathan’s volatile personality, and Sophie’s tragic past. Mixing elements from Styron’s own experience with themes of the Holocaust and the history of slavery in the American South, the novel is a profound and haunting human drama, representing Styron at the pinnacle of his literary brilliance.  This ebook features an illustrated biography of William Styron, including original letters, rare photos, and never-before-seen documents from the Styron family and the Duke University Archives.",C:\Users\Joao\Calibre Library\William Styron\Sophie's Choice_ A Novel (11)\cover.jpg,9781936317172,2010-05-04T14:34:13+01:00,Open Road Media,,,1.0,"Fiction, Historical, General, Literary, Jewish",Sophie's Choice: A Novel,11
William Shakespeare,"One of the last plays Shakespeare penned on his own, The Winter’s Tale is a transcendent work of death and rebirth, exploring irrational sexual jealousy, the redemptive world of nature, and the magical power of art.  Under the editorial supervision of Jonathan Bate and Eric Rasmussen, two of today’s most accomplished Shakespearean scholars, this Modern Library series incorporates definitive texts and authoritative notes from William Shakespeare: Complete Works. Each play includes an Introduction as well as an overview of Shakespeare’s theatrical career; commentary on past and current productions based on interviews with leading directors, actors, and designers; scene-by-scene analysis; key facts about the work; a chronology of Shakespeare’s life and times; and black-and-white illustrations.  Ideal for students, theater professionals, and general readers, these modern and accessible editions from the Royal Shakespeare Company set a new standard in Shakespearean literature for the twenty-first century.",C:\Users\Joao\Calibre Library\William Shakespeare\The Winter's Tale (12)\cover.jpg,9780812969191,2009-02-15T13:44:59+00:00,Modern Library,,,1.0,"Sicily (Italy), Literary Criticism, Plays, Exile (Punishment), Children's Books, Married people, General, Drama, 1564-1616, Shakespeare, Young Adult Misc. Nonfiction, Kings and rulers, Jealousy, William, Fathers and daughters",The Winter's Tale,12
William Shakespeare & Morgan D. Rosenberg,"'The Tempest', a short and juicy play, encapsulates many of the dramatic elements that delight admirers of the Shakespearean oeuvre: betrayal, good spirits, evil relations, loyal friends, dramatic plot twists, terrible weather and, of course, love. The play is entertaining and introduces timeless themes such as redemption, the nature of the soul, magic and the supernatural, and art's imitation of life (and vice versa). The story itself shows us the essence of the traditional Italian commedia dell'arte.Yet Shakespeare perplexes many modern readers. Students in English classes across the country are asked to read literature which is, in essence, written in a foreign language. This modern English translation is not only accurate but is also fluid and natural, allowing it to easily be read on its own or performed on stage.The original five-act structure has been preserved, with a one-to-one correspondence between each original line and each translated line. As opposed to word-by-word translations or annotated versions of the original script, the present book provides a natural language translation.",C:\Users\Joao\Calibre Library\William Shakespeare\Shakespeare's the Tempest (13)\cover.jpg,9781628940268,2013-02-15T13:36:57+00:00,Algora Publishing,,,1.0,"Literary Criticism, Fiction, 19th century, Native American Studies, History, Drama, Classics, Ethnic Studies, United States, Shakespeare, Social Science",Shakespeare's the Tempest,13
William Shakespeare,"The Merchant of Venice has had a rich and varied stage history. It has aroused controversy for over four hundred years. The introduction to this edition challenges many of the preconceptions associated with the play, showing how historical events and cultural attitudes have influenced actors' interpretations and audience responses. The commentary describes how actors, directors and designers have approached the play from the first performances in the 1590s to the present.",C:\Users\Joao\Calibre Library\William Shakespeare\The Merchant of Venice (14)\cover.jpg,9780521773386,2003-01-23T13:09:02+00:00,Cambridge University Press,,,1.0,"Literature - Classics, Literary Criticism, Italy, Criticism, General, Drama, 1564-1616, Literary Collections, Jews, Moneylenders, Shakespeare, Plays, William",The Merchant of Venice,14
William Shakespeare,"These violent delights have violent ends And in their triumph die, like fire and powder,Which, as they kiss, consume.When Romeo first lays eyes on the bewitching Juliet, it's love at first sight. But though their love runs true and deep, it is also completely forbidden. With family and fate determined to keep them apart, will Romeo and Juliet find a way to be together?William Shakespeare's masterpiece is one of the most enduring stories of star-crossed love of all time. Beautifully presented for a modern teen audience with both the original play and a prose retelling of the beloved story, this is the must-have edition of a timeless classic.",C:\Users\Joao\Calibre Library\William Shakespeare\Romeo and Juliet Complete Text With (15)\cover.jpg,9780062023292,2010-06-08T14:28:16+01:00,Harper Collins,,,1.0,"Young Adult Graphic Novels, YA), General, Drama, 1564-1616, Scottish, Playscripts (Children's, Historical - Renaissance, Irish, Children: Young Adult (Gr. 7-9), Conflict of generations, Verona (Italy), Children's Books, Children's Books - Young Adult Fiction, Vendetta, William, Welsh, Juvenile Fiction, Young Adult General Interest & Leisure, Love & Romance, Man-woman relationships, Young Adult Fiction, Historical, Renaissance, Romeo (Fictitious character), English, Juvenile Nonfiction, Romance, Juliet (Fictitious character), Classics, Shakespeare, Shakespeare plays",Romeo and Juliet Complete Text With Extras,15
William Shakespeare & Dr. Barbara A. Mowat & Paul Werstine,"In Othello, Shakespeare creates powerful drama from a marriage between the exotic Moor Othello and the Venetian lady Desdemona that begins with elopement and mutual devotion and ends with jealous rage and death. Shakespeare builds many differences into his hero and heroine, including race, age, and cultural background. Yet most readers and audiences believe the couple’s strong love would overcome these differences were it not for Iago, who sets out to destroy Othello. Iago’s false insinuations about Desdemona’s infidelity draw Othello into his schemes, and Desdemona is subjected to Othello’s horrifying verbal and physical assaults. The authoritative edition of Othello from The Folger Shakespeare Library, the trusted and widely used Shakespeare series for students and general readers, includes: -Freshly edited text based on the best early printed version of the play -Full explanatory notes conveniently placed on pages facing the text of the play -Scene-by-scene plot summaries -A key to the play’s famous lines and phrases -An introduction to reading Shakespeare’s language -An essay by a leading Shakespeare scholar providing a modern perspective on the play -Fresh images from the Folger Shakespeare Library’s vast holdings of rare books -An annotated guide to further reading Essay by Susan Snyder The Folger Shakespeare Library in Washington, DC, is home to the world’s largest collection of Shakespeare’s printed works, and a magnet for Shakespeare scholars from around the globe. In addition to exhibitions open to the public throughout the year, the Folger offers a full calendar of performances and programs. For more information, visit Folger.edu.",C:\Users\Joao\Calibre Library\William Shakespeare\Othello (16)\cover.jpg,9780743482820,2004-08-15T14:18:15+01:00,Simon and Schuster,,,1.0,"Irish, Interracial marriage, European, Venice (Italy), English; Irish; Scottish; Welsh, General, Drama, Muslims, Scottish, Othello (Fictitious character), Shakespeare, Plays, English, Jealousy, Welsh",Othello,16
William Shakespeare,"After defeat at the Battle of Shrewsbury the rebels regroup. But Prince Hal’s reluctance to inherit the crown threatens to destroy the ailing Henry IV’s dream of a lasting dynasty. Shakespeare’s portrait of the prodigal son’s journey from youth to maturity embraces the full panorama of society.  Under the editorial supervision of Jonathan Bate and Eric Rasmussen, two of today’s most accomplished Shakespearean scholars, this Modern Library series incorporates definitive texts and authoritative notes fromWilliam Shakespeare: Complete Works.Each play includes an Introduction as well as an overview of Shakespeare’s theatrical career; commentary on past and current productions based on interviews with leading directors, actors, and designers; scene-by-scene analysis; key facts about the work; a chronology of Shakespeare’s life and times; and black-and-white illustrations.  Ideal for students, theater professionals, and general readers, these modern and accessible editions from the Royal Shakespeare Company set a new standard in Shakespearean literature for the twenty-first century.",C:\Users\Joao\Calibre Library\William Shakespeare\Henry IV (17)\cover.jpg,9780812969252,2009-02-15T12:53:14+00:00,Modern Library,,,1.0,"Literary Criticism, Irish, Plays, General, Drama, 1564-1616, Scottish, Shakespeare, Great Britain, English, William, Welsh",Henry IV,17
